,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
586,235563.0,65.8,1.0,30.368141,59.935367,4.54,42.0,154120.0,200654
592,294562.0,66.2,16.0,30.329397,60.075151,7.22,25.0,181650.0,200654
593,317645.0,66.27,9.0,30.404316,59.938175,8.57,17.0,145130.0,200654
594,120664.0,66.3,1.0,30.474753,59.873202,16.79,26.0,154120.0,200654
595,241003.0,66.4,15.0,30.255618,60.06975,10.24,10.0,166650.0,200654
598,150000.0,66.75,2.0,30.082621,59.724677,28.29,47.0,220144.4,413983
599,150000.0,66.75,2.0,30.084013,59.724491,28.15,48.0,220144.4,200654
601,340808.0,66.9,24.0,30.302843,59.997019,4.12,64.0,124297.6,200654
602,335000.0,66.9,25.0,30.302843,59.997019,4.12,64.0,124297.6,200654
604,205971.0,67.0,25.0,30.374088,59.807138,8.64,31.0,124297.6,200654
605,358209.0,67.0,26.0,30.340985,60.075016,7.44,51.0,124297.6,200654
607,143917.0,67.4,5.0,30.302663,59.968633,3.21,40.0,184400.0,200654
608,160238.0,67.4,6.0,30.324591,59.918435,0.92,38.0,184400.0,200654
609,350000.0,67.46,5.0,30.387724,60.026051,8.34,50.0,184400.0,200654
610,367408.0,67.5,24.0,30.302079,59.997514,4.2,72.0,124297.6,200654
611,424055.0,67.68,19.0,30.184849,59.942245,15.84,15.0,159290.0,200654
615,322581.0,68.2,3.0,30.328453,59.999948,3.33,78.0,144320.0,200654
617,109300.0,68.5,23.0,30.360434,60.042779,6.79,51.0,125937.6,200654
618,323666.0,68.7,1.0,30.35128,59.967502,3.16,57.0,104320.0,200654
619,250000.0,68.79,13.0,30.377394,60.017499,7.12,42.0,168320.0,200654
620,174419.0,68.8,2.0,30.317961,60.069598,6.93,47.0,101320.0,200654
621,333189.0,69.0,5.0,30.420351,59.895678,10.59,31.0,164400.0,413983
622,335000.0,69.0,25.0,30.303983,59.99669,4.03,59.0,131297.6,200654
624,335000.0,69.4,25.0,30.302843,59.997019,4.12,64.0,131297.6,200654
625,107759.0,69.6,4.0,30.318572,59.915183,1.42,41.0,168803.4,200654
626,235295.0,69.7,11.0,30.249204,59.937639,8.68,50.0,156320.0,200654
627,332897.0,69.77,9.0,30.404316,59.938175,8.57,17.0,145320.0,200654
628,128429.0,70.0,1.0,30.222183,59.958386,11.73,93.0,103000.0,413983
630,35715.0,70.0,1.0,30.32133,59.912797,1.34,39.0,103000.0,413983
635,242858.0,70.0,5.0,30.323324,59.878762,2.94,77.0,168803.4,200654
637,358572.0,70.0,25.0,30.21558,59.984278,12.62,101.0,130000.0,200654
638,180000.0,70.0,25.0,30.364045,59.811609,7.76,31.0,130000.0,200654
641,292858.0,70.0,26.0,30.407065,59.858381,9.84,45.0,130000.0,200654
644,253562.0,70.2,28.0,30.312392,60.06927,7.0,58.0,130000.0,200654
645,287340.0,70.3,14.0,30.334957,60.035535,5.27,65.0,136450.0,200654
650,323666.0,70.75,1.0,30.35128,59.967502,3.16,57.0,124000.0,200654
651,76272.0,70.8,1.0,30.244308,60.072444,11.27,21.0,105000.0,200654
653,220339.0,70.8,13.0,30.41594,59.847268,11.01,41.0,130120.0,200654
654,225989.0,70.8,14.0,30.41594,59.847268,11.01,41.0,132800.0,200654
656,126620.0,71.0,8.0,30.325812,59.854716,4.16,37.0,163320.0,200654
657,219719.0,71.0,14.0,30.41594,59.847268,11.01,41.0,132800.0,200654
659,246237.0,71.07,8.0,30.25304,59.908868,8.35,26.0,163320.0,200654
660,372192.0,71.2,5.0,30.27875,59.917745,5.47,28.0,217803.4,200654
662,323665.0,71.45,1.0,30.35128,59.967502,3.16,57.0,139400.0,200654
663,263300.0,71.7,5.0,30.37654,59.925128,5.51,67.0,242803.4,200654
664,263300.0,71.7,5.0,30.37654,59.925128,5.51,67.0,242803.4,200654
665,257900.0,71.9,24.0,30.277061,60.059683,8.26,28.0,131020.0,200654
668,338889.0,72.0,4.0,30.313128,59.93594,1.57,30.0,251203.4,413983
669,255556.0,72.0,20.0,30.230537,60.035962,11.73,82.0,142140.0,200654
671,334928.0,72.0,25.0,30.220988,59.861503,12.3,36.0,131020.0,413983
672,128988.0,72.1,9.0,30.447813,59.95593,13.45,16.0,181240.0,200654
673,172992.0,72.2,1.0,30.344812,59.939825,1.96,22.0,194880.0,200654
675,334000.0,72.2,25.0,30.220988,59.861973,12.29,35.0,131020.0,200654
677,339000.0,72.4,25.0,30.220961,59.862483,12.29,34.0,131020.0,200654
678,329000.0,72.5,25.0,30.220961,59.862483,12.29,34.0,131020.0,200654
680,334000.0,72.5,25.0,30.220979,59.863007,12.28,34.0,131020.0,200654
681,213000.0,72.5,25.0,30.479038,60.008378,17.4,32.0,131020.0,200654
682,324000.0,72.6,25.0,30.220979,59.863007,12.28,34.0,131020.0,200654
684,327000.0,72.8,25.0,30.220988,59.861973,12.29,35.0,131020.0,200654
686,360993.0,72.91,18.0,30.194542,59.942894,14.76,20.0,158500.0,413983
689,294521.0,73.0,5.0,30.344408,59.926715,1.96,63.0,201000.0,200654
690,294521.0,73.0,5.0,30.344408,59.926715,1.96,63.0,201000.0,200654
691,230137.0,73.0,11.0,30.269317,60.052339,8.59,30.0,145040.0,200654
692,216473.0,73.0,25.0,30.449376,60.002517,14.11,10.0,131020.0,200654
694,294118.0,73.1,5.0,30.313326,59.936724,1.55,31.0,206240.0,413983
695,287737.0,73.1,9.0,30.335083,60.011441,4.04,58.0,204480.0,200654
696,75137.0,73.2,1.0,30.244308,60.072444,11.27,21.0,118967.0,200654
701,353742.0,73.5,7.0,30.301127,59.912368,3.13,55.0,182480.0,200654
702,319728.0,73.5,7.0,30.302124,59.912414,3.03,58.0,182480.0,200654
704,271371.0,73.7,1.0,30.323306,59.964205,1.54,72.0,119088.0,200654
705,109295.0,73.7,23.0,30.360434,60.042779,6.79,51.0,108760.0,200654
