,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
296,55.5,1.0,2.0,59.885936,30.318725,75.0,2.65,284126.8703125
297,55.7,3.0,2.0,59.942376,30.279935,52.0,3.62,261970.0192
298,56.0,4.0,0.0,59.947027,30.477466,28.0,18.36,222474.55818181817
299,56.0,10.0,0.0,60.009606,30.326307,84.0,4.02,225573.17423312887
300,56.0,13.0,1.0,59.956557,30.307765,39.0,1.12,288191.65576923074
301,56.04,11.0,0.0,59.880582,30.338083,19.0,4.05,284126.8703125
302,56.2,10.0,3.0,59.879353,30.315275,85.0,2.89,284126.8703125
303,56.2,25.0,0.0,59.862483,30.220961,34.0,10.71,282094.2408163265
304,56.25,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
305,56.3,25.0,0.0,59.861973,30.220988,35.0,10.71,282094.2408163265
306,57.0,5.0,2.0,59.866061,30.260262,24.0,6.69,239969.54054054053
307,57.0,6.0,1.0,59.942831,30.276782,49.0,3.97,261970.0192
308,57.0,8.0,1.0,59.859922,30.393563,40.0,9.92,245996.38888888888
309,57.0,9.0,1.0,60.075344,30.332999,36.0,7.45,225573.17423312887
310,57.0,14.0,0.0,60.042586,30.361413,52.0,7.78,225573.17423312887
311,57.0,25.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
312,57.1,10.0,0.0,59.881358,30.429685,23.0,13.4,218420.79166666663
313,57.2,10.0,0.0,59.702404,30.408233,47.0,16.62,189180.75698924728
314,57.6,11.0,0.0,59.880582,30.338083,19.0,4.05,284126.8703125
315,57.61,7.0,0.0,59.943372,30.268635,33.0,4.88,261970.0192
316,57.66,25.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
317,57.7,5.0,8.0,59.917213,30.32495,38.0,1.71,277500.88611111115
318,57.9,18.0,0.0,59.946324,30.414584,45.0,11.37,222474.55818181817
319,57.91,9.0,1.0,59.938175,30.404316,17.0,10.22,222474.55818181817
320,58.0,3.0,0.0,60.073283,30.373405,30.0,9.92,225573.17423312887
321,58.0,5.0,8.0,59.917213,30.32495,38.0,1.71,277500.88611111115
322,58.0,7.0,0.0,59.896097,30.332244,40.0,3.02,284126.8703125
323,58.0,8.0,4.0,59.946694,30.358655,39.0,5.17,254919.1581632653
324,58.0,8.2,1.0,59.94974,30.35048,32.0,4.29,254919.1581632653
325,58.1,15.0,0.0,59.895772,30.465483,33.0,17.18,218420.79166666663
326,58.2,17.0,2.0,59.852565,30.26382,27.0,6.72,239969.54054054053
327,58.27,12.0,1.0,59.987357,30.341847,58.0,4.19,225573.17423312887
328,58.88,9.0,1.0,59.938175,30.404316,17.0,10.22,222474.55818181817
329,58.9,5.0,2.0,59.924943,30.376316,69.0,7.13,254919.1581632653
330,58.9,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
331,59.0,1.0,7.0,59.911141,30.320018,39.0,1.54,277500.88611111115
332,59.0,1.0,0.0,59.938685,30.474825,36.0,18.06,222474.55818181817
333,59.0,27.0,1.0,60.075016,30.340985,51.0,7.8,225573.17423312887
334,59.4,5.0,0.0,59.957043,30.330403,22.0,2.26,288191.65576923074
335,59.5,6.0,3.0,59.910009,30.346546,75.0,4.04,245996.38888888888
336,59.8,28.0,1.0,60.075016,30.340985,51.0,7.8,225573.17423312887
337,60.0,1.0,0.0,59.937873,30.216829,60.0,10.63,261970.0192
338,60.0,3.0,0.0,59.984373,30.288119,43.0,3.57,279766.9102439024
339,60.0,4.0,0.0,59.996803,30.382514,92.0,8.43,261699.9675
340,60.0,5.0,1.0,59.962724,30.267494,27.0,5.15,288191.65576923074
341,60.0,5.0,0.0,59.949636,30.305996,39.0,0.97,288191.65576923074
342,60.0,5.0,0.0,60.072094,30.344336,53.0,7.84,225573.17423312887
343,60.0,5.0,1.0,59.857418,30.379343,90.0,8.55,245996.38888888888
344,60.0,6.0,1.0,59.95229,30.213846,69.0,10.98,261970.0192
