,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
78,297641.2,9158000.0,48300.0,32.2,6.0,30.340617,59.958417,0.0,0.0,1.0,39.0,1499.9999999999998,3.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
79,332029.0,9761112.0,80000.0,32.4,4.0,30.26479,59.960007,0.0,0.0,1.0,35.0,2469.135802469136,5.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
80,117284.0,3800000.0,107528.0,32.4,6.0,30.373836,59.933645,0.0,0.0,0.0,0.0,3318.7654320987654,6.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
81,220184.0,7200000.0,115568.0,32.7,5.0,30.345854,59.917209,0.0,1.0,3.0,0.0,3534.1896024464827,3.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
82,158537.0,5200000.0,115568.0,32.8,18.0,30.331535,60.017292,0.0,0.0,0.0,0.0,3523.414634146342,4.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
83,205206.6,7348200.0,120000.0,33.0,1.0,30.459545,59.897063,0.0,0.0,0.0,40.0,3636.363636363637,16.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547896,218420.79166666666
84,290434.0,11039312.0,49500.0,33.0,3.0,30.224815,59.853211,0.0,0.0,0.0,56.0,1500.0,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,335774,239969.54054054053
85,293940.0,9700000.0,94568.0,33.0,5.0,30.297237,59.966493,0.0,0.0,1.0,0.0,2865.696969696969,2.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
86,261538.2,10076080.0,60000.0,33.0,5.0,30.414476,59.951285,0.0,0.0,0.0,32.0,1818.1818181818185,11.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366971,222474.55818181817
87,111608.0,3750000.0,80541.8,33.6,25.0,30.369282,59.806821,0.0,0.0,0.0,0.0,2397.0773809523807,9.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
88,190000.0,6441000.0,62366.8,33.9,9.0,30.449978,59.956836,0.0,0.0,0.0,0.0,1839.7286135693216,15.34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366971,222474.55818181817
89,293033.6,9179312.0,70000.0,34.0,9.0,30.247381,60.010124,0.0,0.0,0.0,109.0,2058.823529411765,8.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
90,257226.0,8900000.0,74840.0,34.6,18.0,30.421196,59.890681,0.0,1.0,1.0,0.0,2163.0057803468208,12.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547896,218420.79166666666
91,236312.0,8200000.0,94568.0,34.7,3.0,30.337787,59.946946,0.0,0.0,1.0,0.0,2725.302593659942,2.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
92,322745.6,10079312.0,40000.0,35.0,5.0,30.263173,60.005549,0.0,0.0,1.0,108.0,1142.857142857143,6.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
93,206378.4,7054440.0,70000.0,35.0,6.0,30.402672,60.011356,0.0,0.0,1.0,40.0,2000.0,10.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,536794,261699.96749999997
94,357861.4,11619800.0,30000.0,35.0,15.0,30.279298,59.939974,1.0,1.0,1.0,48.0,857.1428571428571,3.69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
95,270012.0,10188000.0,52000.0,35.4,5.0,30.329738,59.955741,0.0,0.0,0.0,20.0,1468.9265536723165,2.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
96,267606.0,9500000.0,94568.0,35.5,5.0,30.323279,59.913447,0.0,0.0,7.0,0.0,2663.887323943662,1.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155981,277500.88611111115
