X	Y	HIGHWAY	CROSSING	CROSSING_R	OSM_TYPE	OSM_ID
30.4042769	59.7203062	crossing	uncontrolled		node	"815758508"
30.402775	59.7188087	crossing	uncontrolled		node	"817923444"
30.4004052	59.7215008	crossing	uncontrolled		node	"822216437"
30.4004761	59.7216803	crossing	uncontrolled		node	"822216446"
30.4007135	59.7216029	crossing	uncontrolled		node	"822216454"
30.4003661	59.7215891	crossing	uncontrolled		node	"822216456"
30.4006572	59.7217006	crossing	uncontrolled		node	"822216460"
30.4005967	59.7215134	crossing	uncontrolled		node	"822216470"
30.4021933	59.7230817	crossing	uncontrolled		node	"823735768"
30.4024589	59.72312	crossing	uncontrolled		node	"823735775"
30.4025432	59.7229671	crossing	uncontrolled		node	"823735787"
30.4022351	59.7229336	crossing	uncontrolled		node	"823735803"
30.3179698	59.9131672	crossing	uncontrolled		node	"825454674"
30.3079256	59.9152049	crossing	uncontrolled		node	"825454676"
30.3078636	59.913756	crossing	uncontrolled		node	"825454677"
30.3078971	59.9144758	crossing	uncontrolled		node	"825454681"
30.3142171	59.9091272	crossing	uncontrolled		node	"825454683"
30.307174	59.9152069	crossing	uncontrolled		node	"825454686"
30.3071582	59.9137467	crossing	uncontrolled		node	"825454688"
30.3071224	59.9122805	crossing	uncontrolled		node	"825454690"
30.3072198	59.9144891	crossing	uncontrolled		node	"825454692"
30.3355793	59.9843403	crossing	traffic_signals		node	"827192086"
30.3355075	59.9845036	crossing	traffic_signals		node	"827192095"
30.4862313	59.928232	crossing	uncontrolled		node	"829078918"
30.4858402	59.9281412	crossing	uncontrolled		node	"829078922"
30.3567866	60.0377926	crossing	uncontrolled		node	"835354879"
30.4312038	60.0219823	crossing	traffic_signals		node	"835354884"
30.405755	60.0223447	crossing	uncontrolled		node	"835543073"
30.4074131	60.0225829	crossing	uncontrolled		node	"835543076"
30.4072539	60.0226273	crossing	uncontrolled		node	"835543079"
30.4055998	60.0222141	crossing	uncontrolled		node	"835543090"
